# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
188   Re_isomer           4800.0
189   Re                  1300.0
190   Re                  9300.0
190   Re_isomer           8300.0
180   Os                  6000.0
181   Os                 10600.0
182   Os                  7700.0
183   Os                 10400.0
183   Os_isomer           5400.0
185   Os                  5700.0
186   Os                     0.0
189   Os_isomer            800.0
190   Os_isomer          14000.0
191   Os                  5400.0
191   Os_isomer           1400.0
193   Os                  1600.0
194   Os                  1500.0
196   Os                  1300.0
180   Ir                 12200.0
182   Ir                 11700.0
183   Ir                  9500.0
184   Ir                 13600.0
185   Ir                  9700.0
186   Ir                 12400.0
186   Ir_isomer           7000.0
187   Ir                  6400.0
188   Ir                  7800.0
189   Ir                  5100.0
190   Ir                 13700.0
190   Ir_isomer            700.0
190   Irn                 3600.0
191   Ir_isomer           5300.0
192   Ir                  7900.0
192   Ir_isomer           2400.0
192   Irn                 5100.0
193   Ir_isomer            900.0
194   Ir                   700.0
194   Ir_isomer          16200.0
195   Ir                  3700.0
195   Ir_isomer           5500.0
196   Ir                  1300.0
196   Ir_isomer          18000.0
184   Pt                 15100.0
186   Pt                  7300.0
187   Pt                  9700.0
188   Pt                  6800.0
189   Pt                  8900.0
190   Pt                     0.0
191   Pt                  7900.0
193   Pt                  1600.0
193   Pt_isomer           1600.0
195   Pt_isomer           6200.0
197   Pt                  2000.0
197   Pt_isomer           5200.0
199   Pt                  1700.0
200   Pt                  2800.0
202   Pt                     0.0
186   Au                 10900.0
187   Au                  7400.0
190   Au                  9500.0
191   Au                  8900.0
192   Au                  8500.0
193   Au                  5700.0
193   Au_isomer           5600.0
194   Au                  7200.0
195   Au                  5700.0
195   Au_isomer           5800.0
196   Au                  7200.0
196   Au_isomer          11100.0
198   Au                  3200.0
198   Au_isomer          12800.0
199   Au                  2800.0
200   Au                  1000.0
200   Au_isomer          15300.0
201   Au                   400.0
202   Au                   600.0
190   Hg                  7400.0
191   Hg_isomer          12100.0
192   Hg                  8200.0
193   Hg                  7800.0
193   Hg_isomer           6900.0
194   Hg                  1600.0
195   Hg                  5700.0
195   Hg_isomer           7100.0
197   Hg                  5100.0
197   Hg_isomer           4600.0
199   Hg_isomer           5500.0
203   Hg                  3900.0
205   Hg                   100.0
206   Hg                  1900.0
207   Hg                  7700.0
190   Tl                  8500.0
190   Tl_isomer          14200.0
194   Tl                  7300.0
194   Tl_isomer          16900.0
195   Tl                  7600.0
196   Tl                  8400.0
197   Tl                  5600.0
198   Tl                  8400.0
198   Tl_isomer          13500.0
199   Tl                  5700.0
200   Tl                  8300.0
201   Tl                  4700.0
202   Tl                  6100.0
204   Tl                   100.0
206   Tl                     0.0
206   Tl_isomer          17400.0
207   Tl                     0.0
208   Tl                  5600.0
209   Tl                  8000.0
210   Tl                 10600.0
194   Pb                 11900.0
195   Pb_isomer          19000.0
196   Pb                 11700.0
197   Pb                 10500.0
197   Pb_isomer          15900.0
198   Pb                 11400.0
199   Pb                  9500.0
200   Pb                 11300.0
201   Pb                 11000.0
201   Pb_isomer           4000.0
202   Pb                  3600.0
202   Pb_isomer          10400.0
203   Pb                  9900.0
204   Pb_isomer           8200.0
205   Pb                  3600.0
209   Pb                     0.0
210   Pb                  3300.0
211   Pb                   400.0
212   Pb                  4200.0
214   Pb                  4600.0
197   Bi                 11300.0
200   Bi                 19300.0
201   Bi                 10100.0
202   Bi                 16500.0
203   Bi                 11300.0
204   Bi                 16200.0
205   Bi                  9700.0
206   Bi                 18700.0
207   Bi                 10800.0
208   Bi                  6200.0
210   Bi                     0.0
210   Bi_isomer           4000.0
211   Bi                   600.0
212   Bi                  1400.0
212   Bin                    0.0
213   Bi                  1100.0
214   Bi                  3100.0
215   Bi                  2900.0
216   Bi                  4800.0
203   Po                 11700.0
204   Po                 18500.0
